algo,k,n,cost,wall,cpu
rrnn,1,5,5.0,0.949828,0.03593
rrnn,1,5,1.6618898722125257,0.000759,0.00076
rrnn,1,5,1.5346071521507416,0.000769,0.00077
rrnn,1,5,1.2754015017456721,0.000781,0.000782
rrnn,1,5,2.063214236978041,0.000698,0.000699
rrnn,1,5,1.1732601440847197,0.00091,0.000909
rrnn,1,5,1.780054743571514,0.000902,0.000902
rrnn,1,5,2.525504675545751,0.000941,0.000941
rrnn,1,5,1.839417464145442,0.00091,0.00091
rrnn,1,5,2.5317732913983138,0.000862,0.000863
rrnn,1,5,2.2448169173481496,0.000827,0.000828
rrnn,1,10,2.6024885801786164,0.002189,0.00219
rrnn,1,10,1.7054665240800408,0.00205,0.00205
rrnn,1,10,0.8982409106571694,0.002093,0.002083
rrnn,1,10,1.8617680847271898,0.001748,0.00175
rrnn,1,10,2.0750008600412837,0.001963,0.001963
rrnn,1,10,1.0516241686244174,0.001835,0.001835
rrnn,1,10,1.9015919681483184,0.001517,0.001517
rrnn,1,10,2.5901943608269633,0.001436,0.001435
rrnn,1,10,2.2103962543041997,0.001465,0.001464
rrnn,1,10,1.9913309317709875,0.001337,0.001336
rrnn,1,15,1.5011559629590723,0.002451,0.002451
rrnn,1,15,2.8637294101437845,0.002483,0.002484
rrnn,1,15,1.6297062576093877,0.002305,0.002305
rrnn,1,15,1.031025156438768,0.002255,0.002254
rrnn,1,15,1.9985334982339475,0.002333,0.002333
rrnn,1,15,2.238085097087336,0.002634,0.002634
rrnn,1,15,1.4523489593554075,0.002282,0.002283
rrnn,1,15,1.961293756657378,0.001955,0.001954
rrnn,1,15,1.8380470438704422,0.001877,0.001877
rrnn,1,15,1.8641023123806288,0.001853,0.001852
rrnn,1,20,2.1463311891354477,0.003572,0.003568
rrnn,1,20,1.9451981987074234,0.002553,0.002553
rrnn,1,20,1.9713997608535228,0.002616,0.002617
rrnn,1,20,1.9447207706275813,0.003078,0.003078
rrnn,1,20,1.9407830498332226,0.002897,0.002896
rrnn,1,20,1.9561141784468956,0.002998,0.002998
rrnn,1,20,2.132121332736805,0.002635,0.00263
rrnn,1,20,2.087685105720494,0.002891,0.002891
rrnn,1,20,1.3389927919815099,0.002616,0.002615
rrnn,1,20,2.2542998202148343,0.00277,0.002768
rrnn,1,25,2.2614992197882993,0.004915,0.004916
rrnn,1,25,2.263959228981687,0.004612,0.004608
rrnn,1,25,2.0904669105688125,0.003453,0.003453
rrnn,1,25,1.9201956827025062,0.004103,0.004102
rrnn,1,25,1.9846761735505227,0.003675,0.003672
rrnn,1,25,2.3515951172396967,0.004284,0.004284
rrnn,1,25,2.0403701463117914,0.003983,0.003979
rrnn,1,25,1.8520212331726422,0.003218,0.003213
rrnn,1,25,3.2609236209821444,0.00356,0.003559
rrnn,1,25,2.0008558176067366,0.004061,0.004058
rrnn,1,30,1.7832597922150137,0.00581,0.00581
rrnn,1,30,2.704132961434224,0.005734,0.005734
rrnn,1,30,2.4251486427719087,0.006441,0.006443
rrnn,1,30,1.6999269139998374,0.005303,0.005303
rrnn,1,30,2.847118636099611,0.005279,0.005279
rrnn,1,30,2.400197653077973,0.005543,0.005543
rrnn,1,30,1.8029385973319778,0.007595,0.007595
rrnn,1,30,2.3831980217849837,0.005159,0.005158
rrnn,1,30,1.9573367309829788,0.005091,0.005091
rrnn,1,30,2.2452772514251986,0.005605,0.005606
rrnn,2,5,5.0,0.000266,0.000265
rrnn,2,5,1.6618898722125257,0.000267,0.000267
rrnn,2,5,1.5346071521507416,0.000264,0.000264
rrnn,2,5,1.2754015017456721,0.000261,0.000261
rrnn,2,5,2.063214236978041,0.00027,0.00027
rrnn,2,5,1.1732601440847197,0.000258,0.000259
rrnn,2,5,1.780054743571514,0.00027,0.000271
rrnn,2,5,2.525504675545751,0.00026,0.00026
rrnn,2,5,1.839417464145442,0.000257,0.000257
rrnn,2,5,2.5317732913983138,0.00026,0.00026
rrnn,2,5,2.2448169173481496,0.000268,0.000268
rrnn,2,10,2.6024885801786164,0.00079,0.000791
rrnn,2,10,1.705466524080041,0.000738,0.000738
rrnn,2,10,0.8982409106571694,0.000717,0.000717
rrnn,2,10,1.8617680847271898,0.000732,0.000732
rrnn,2,10,2.0750008600412837,0.00079,0.00079
rrnn,2,10,1.0516241686244174,0.000762,0.000762
rrnn,2,10,1.9015919681483182,0.000775,0.000775
rrnn,2,10,2.5475022239206417,0.000761,0.00076
rrnn,2,10,2.2103962543041993,0.000794,0.000794
rrnn,2,10,1.9913309317709875,0.000806,0.000808
rrnn,2,15,1.4944651100248527,0.001672,0.001671
rrnn,2,15,2.765099824325862,0.001597,0.001597
rrnn,2,15,1.5349680396509044,0.001566,0.001567
rrnn,2,15,1.1449968494956142,0.001619,0.001619
rrnn,2,15,2.0335143026970735,0.001643,0.001643
rrnn,2,15,2.238085097087336,0.001624,0.001624
rrnn,2,15,1.3913130368135587,0.001762,0.001762
rrnn,2,15,2.01498850660466,0.001666,0.001666
rrnn,2,15,1.8380470438704422,0.001694,0.001694
rrnn,2,15,1.753112631015185,0.001527,0.001526
rrnn,2,20,2.2276293625845405,0.003094,0.003095
rrnn,2,20,1.945198198707423,0.002793,0.002793
rrnn,2,20,1.8666714888088127,0.002724,0.002724
rrnn,2,20,1.9564327824931733,0.002594,0.002594
rrnn,2,20,1.9858838464215829,0.002986,0.002986
rrnn,2,20,2.042305841066473,0.002849,0.00285
rrnn,2,20,2.3011935129545673,0.002598,0.002597
rrnn,2,20,1.9976138445833074,0.00304,0.00304
rrnn,2,20,1.6877423188638419,0.002621,0.002621
rrnn,2,20,2.231365328345876,0.002709,0.002708
rrnn,2,25,2.340166408607846,0.004982,0.004982
rrnn,2,25,2.347846421976305,0.004232,0.004233
rrnn,2,25,2.0456002235681057,0.004468,0.004467
rrnn,2,25,1.9806702704017902,0.004103,0.004103
rrnn,2,25,2.115690649937553,0.004054,0.004051
rrnn,2,25,2.396652371749459,0.004199,0.004199
rrnn,2,25,2.157017456091485,0.004916,0.004915
rrnn,2,25,2.126340287344391,0.004033,0.004034
rrnn,2,25,3.207835860285487,0.004596,0.004596
rrnn,2,25,2.044412733922266,0.004219,0.004219
rrnn,2,30,1.9678471514304539,0.00669,0.00669
rrnn,2,30,2.8540904500992004,0.006808,0.006807
rrnn,2,30,2.4619761765327937,0.006474,0.006473
rrnn,2,30,1.8797630900713154,0.005919,0.00592
rrnn,2,30,2.740800595906906,0.006718,0.006718
rrnn,2,30,2.6550732286310406,0.006389,0.00639
rrnn,2,30,1.8360575670607,0.00597,0.005969
rrnn,2,30,2.4242574543155513,0.006331,0.006332
rrnn,2,30,2.2677599489934774,0.00678,0.006781
rrnn,2,30,2.254375506342586,0.006015,0.006016
rrnn,3,5,5.0,0.000269,0.000268
rrnn,3,5,1.6618898722125257,0.000271,0.000272
rrnn,3,5,1.5346071521507416,0.000266,0.000265
rrnn,3,5,1.2754015017456721,0.000264,0.000264
rrnn,3,5,2.063214236978041,0.000262,0.000263
rrnn,3,5,1.1732601440847197,0.000262,0.000262
rrnn,3,5,1.780054743571514,0.000262,0.000262
rrnn,3,5,2.525504675545751,0.000259,0.000258
rrnn,3,5,1.839417464145442,0.000265,0.000265
rrnn,3,5,2.5317732913983138,0.000277,0.000278
rrnn,3,5,2.2448169173481496,0.000299,0.000297
rrnn,3,10,2.6024885801786164,0.000898,0.000898
rrnn,3,10,1.705466524080041,0.00073,0.000731
rrnn,3,10,0.8982409106571694,0.000738,0.000738
rrnn,3,10,1.8617680847271896,0.000781,0.00078
rrnn,3,10,2.0750008600412837,0.000731,0.000732
rrnn,3,10,1.0516241686244174,0.000771,0.00077
rrnn,3,10,1.9015919681483184,0.000782,0.000782
rrnn,3,10,2.5475022239206417,0.000773,0.000773
rrnn,3,10,2.2103962543041993,0.000743,0.000743
rrnn,3,10,1.9913309317709875,0.00083,0.00083
rrnn,3,15,1.5011559629590718,0.001627,0.001626
rrnn,3,15,2.7294686804179156,0.001678,0.001678
rrnn,3,15,1.54244742129701,0.001751,0.001751
rrnn,3,15,1.031025156438768,0.001749,0.00175
rrnn,3,15,1.9985334982339475,0.001794,0.001794
rrnn,3,15,2.238085097087336,0.001732,0.001731
rrnn,3,15,1.3913130368135587,0.001912,0.001912
rrnn,3,15,2.0149885066046602,0.001616,0.001614
rrnn,3,15,1.8139735520830376,0.001537,0.001536
rrnn,3,15,1.654888545565809,0.001535,0.001535
rrnn,3,20,2.198193091776954,0.003009,0.003008
rrnn,3,20,2.0718367263313517,0.002726,0.002726
rrnn,3,20,1.910817980510299,0.00293,0.00293
rrnn,3,20,1.7425459595801298,0.002985,0.002984
rrnn,3,20,2.1746296360860002,0.002688,0.002688
rrnn,3,20,1.956114178446896,0.003006,0.003003
rrnn,3,20,2.1091377691336715,0.002613,0.002613
rrnn,3,20,2.1443596951420236,0.002883,0.002882
rrnn,3,20,1.466361713822068,0.002891,0.00289
rrnn,3,20,2.2743053514975786,0.002661,0.002661
rrnn,3,25,2.510273332502093,0.004558,0.004558
rrnn,3,25,2.3077941873670462,0.005119,0.005119
rrnn,3,25,2.0609363828098157,0.004651,0.00465
rrnn,3,25,2.1909280487604943,0.004591,0.004591
rrnn,3,25,1.954877746817517,0.004445,0.004444
rrnn,3,25,2.306907095509445,0.005101,0.005101
rrnn,3,25,2.0845096923125985,0.004539,0.00454
rrnn,3,25,2.0903673892467185,0.004433,0.004433
rrnn,3,25,3.0987924611775353,0.005298,0.005292
rrnn,3,25,2.144304014000356,0.004432,0.004433
rrnn,3,30,1.9249135682671112,0.006837,0.006836
rrnn,3,30,2.781586962433728,0.006761,0.006761
rrnn,3,30,2.611043337675993,0.00699,0.006987
rrnn,3,30,1.747619145494084,0.007117,0.007117
rrnn,3,30,3.022667741442799,0.007322,0.007318
rrnn,3,30,2.538403034079412,0.007103,0.007098
rrnn,3,30,1.8604818771494067,0.006011,0.006011
rrnn,3,30,2.3657413954367574,0.005965,0.005965
rrnn,3,30,2.238977649932303,0.006444,0.006444
rrnn,3,30,2.0998153772555304,0.006505,0.006505
rrnn,5,5,5.0,0.000262,0.000261
rrnn,5,5,1.6618898722125257,0.000268,0.000268
rrnn,5,5,1.5346071521507416,0.000259,0.000259
rrnn,5,5,1.2754015017456721,0.000263,0.000263
rrnn,5,5,2.063214236978041,0.000259,0.000259
rrnn,5,5,1.1732601440847197,0.000258,0.000258
rrnn,5,5,1.780054743571514,0.000285,0.000286
rrnn,5,5,2.525504675545751,0.000257,0.000257
rrnn,5,5,1.839417464145442,0.000256,0.000256
rrnn,5,5,2.5317732913983138,0.000256,0.000256
rrnn,5,5,2.2448169173481496,0.000257,0.000258
rrnn,5,10,2.6024885801786164,0.000837,0.000836
rrnn,5,10,1.705466524080041,0.000805,0.000805
rrnn,5,10,0.8982409106571694,0.000811,0.000811
rrnn,5,10,1.8617680847271894,0.000864,0.000864
rrnn,5,10,2.0750008600412837,0.00081,0.00081
rrnn,5,10,1.0516241686244174,0.000847,0.000848
rrnn,5,10,1.9015919681483182,0.000817,0.000817
rrnn,5,10,2.547502223920642,0.000782,0.000781
rrnn,5,10,2.2103962543041993,0.000822,0.000822
rrnn,5,10,1.9913309317709875,0.000788,0.000788
rrnn,5,15,1.4944651100248527,0.001848,0.001847
rrnn,5,15,2.7294686804179156,0.001572,0.001572
rrnn,5,15,1.5349680396509047,0.001768,0.001767
rrnn,5,15,1.1034763579327433,0.001822,0.001822
rrnn,5,15,1.9985334982339475,0.001665,0.001665
rrnn,5,15,2.238085097087336,0.00179,0.001789
rrnn,5,15,1.3913130368135582,0.00171,0.00171
rrnn,5,15,1.9612937566573783,0.001645,0.001645
rrnn,5,15,1.8139735520830373,0.001829,0.001829
rrnn,5,15,1.5931384077659598,0.001674,0.001673
rrnn,5,20,2.0668169783714445,0.00291,0.00291
rrnn,5,20,1.9704035052994073,0.003219,0.003217
rrnn,5,20,1.9829645063771575,0.002914,0.002915
rrnn,5,20,1.9718986100105478,0.002708,0.002707
rrnn,5,20,1.9796086253656944,0.003172,0.003172
rrnn,5,20,1.8974670589522353,0.002938,0.002937
rrnn,5,20,2.2972617959166413,0.003125,0.003123
rrnn,5,20,2.0490120929253166,0.003166,0.003166
rrnn,5,20,1.5052800173277467,0.002615,0.002615
rrnn,5,20,2.3103349221457536,0.002976,0.002974
rrnn,5,25,2.291490222447952,0.004925,0.004925
rrnn,5,25,2.3821111875261356,0.00484,0.004838
rrnn,5,25,2.045594047680259,0.00471,0.00471
rrnn,5,25,1.9692574014360185,0.004245,0.004229
rrnn,5,25,2.059970454614628,0.005249,0.005249
rrnn,5,25,2.34174742263916,0.004487,0.004482
rrnn,5,25,1.9721105798243954,0.004539,0.004536
rrnn,5,25,1.9701729345459367,0.00502,0.005021
rrnn,5,25,3.0322614460914314,0.004961,0.004958
rrnn,5,25,2.2348554637953804,0.004847,0.004847
rrnn,5,30,1.9084294202269847,0.00719,0.007189
rrnn,5,30,2.758085646990648,0.007183,0.007177
rrnn,5,30,2.481991153057796,0.007024,0.007009
rrnn,5,30,1.798779744824455,0.006971,0.006967
rrnn,5,30,2.9620953460646935,0.006866,0.006862
rrnn,5,30,2.441706620572122,0.007343,0.007343
rrnn,5,30,2.003811214507564,0.007641,0.007642
rrnn,5,30,2.4772370890190634,0.006025,0.006025
rrnn,5,30,2.329183006800264,0.007058,0.007058
rrnn,5,30,2.233319184758587,0.006831,0.006829
rrnn,8,5,5.0,0.000238,0.000239
rrnn,8,5,1.6618898722125257,0.000271,0.000271
rrnn,8,5,1.5346071521507416,0.000254,0.000254
rrnn,8,5,1.2754015017456721,0.000247,0.000246
rrnn,8,5,2.063214236978041,0.000237,0.000238
rrnn,8,5,1.1732601440847197,0.000242,0.000242
rrnn,8,5,1.780054743571514,0.000267,0.000267
rrnn,8,5,2.525504675545751,0.000237,0.000237
rrnn,8,5,1.839417464145442,0.000243,0.000243
rrnn,8,5,2.5317732913983138,0.000249,0.000249
rrnn,8,5,2.2448169173481496,0.000254,0.000254
rrnn,8,10,2.602488580178617,0.000783,0.000782
rrnn,8,10,1.705466524080041,0.000785,0.000785
rrnn,8,10,0.8982409106571694,0.000824,0.000823
rrnn,8,10,1.8617680847271898,0.000757,0.000756
rrnn,8,10,2.0750008600412837,0.000918,0.000914
rrnn,8,10,1.0516241686244174,0.00078,0.00078
rrnn,8,10,1.9015919681483182,0.000842,0.000843
rrnn,8,10,2.5475022239206417,0.00085,0.000849
rrnn,8,10,2.2103962543041993,0.000825,0.000825
rrnn,8,10,1.9913309317709875,0.000829,0.00083
rrnn,8,15,1.4944651100248527,0.001767,0.001767
rrnn,8,15,2.8637294101437836,0.001798,0.001798
rrnn,8,15,1.5349680396509047,0.001737,0.001722
rrnn,8,15,1.1449968494956142,0.001717,0.001716
rrnn,8,15,2.033514302697074,0.001746,0.001746
rrnn,8,15,2.2380850970873363,0.001837,0.001836
rrnn,8,15,1.4257586724645095,0.001951,0.00195
rrnn,8,15,2.1623983339426367,0.001829,0.001829
rrnn,8,15,1.838047043870442,0.001842,0.001842
rrnn,8,15,1.5931384077659596,0.0017,0.001701
rrnn,8,20,2.2835591689042625,0.003306,0.003305
rrnn,8,20,2.0882791334941038,0.003244,0.003245
rrnn,8,20,2.03319492128081,0.002796,0.002796
rrnn,8,20,1.9929070955767991,0.002794,0.002793
rrnn,8,20,2.2348849947532123,0.003049,0.003048
rrnn,8,20,2.0397492417843677,0.002947,0.002948
rrnn,8,20,2.3331120965019534,0.00312,0.003121
rrnn,8,20,2.0872152239529242,0.003178,0.003178
rrnn,8,20,1.3389927919815099,0.002972,0.002972
rrnn,8,20,2.1803995009132597,0.003262,0.003262
rrnn,8,25,2.3121681678919246,0.005392,0.005392
rrnn,8,25,2.399074795383668,0.0053,0.0053
rrnn,8,25,2.0199335266629204,0.005286,0.005284
rrnn,8,25,2.0151606420705863,0.004966,0.004965
rrnn,8,25,2.081073398235374,0.004897,0.004897
rrnn,8,25,2.192767711594319,0.005089,0.005075
rrnn,8,25,1.9709522636222694,0.005075,0.005074
rrnn,8,25,2.1945815792939225,0.005122,0.005103
rrnn,8,25,3.1533512675861313,0.005276,0.005275
rrnn,8,25,2.173376344146554,0.004835,0.00483
rrnn,8,30,2.031240665081674,0.006978,0.006956
rrnn,8,30,2.8084591025201826,0.006656,0.006607
rrnn,8,30,2.5740163419513973,0.007013,0.006968
rrnn,8,30,1.7848850829317306,0.007353,0.007345
rrnn,8,30,2.983063836941154,0.007253,0.007243
rrnn,8,30,2.7176759139199684,0.008388,0.008384
rrnn,8,30,1.9152577446763575,0.007844,0.007812
rrnn,8,30,2.2584947963618016,0.007501,0.007502
rrnn,8,30,2.390405877262588,0.00681,0.006808
rrnn,8,30,2.3169383167510453,0.006907,0.006883
rrnn,10,5,5.0,0.000305,0.000305
rrnn,10,5,1.6618898722125257,0.000258,0.000258
rrnn,10,5,1.5346071521507416,0.0003,0.000299
rrnn,10,5,1.2754015017456721,0.000335,0.000321
rrnn,10,5,2.063214236978041,0.00025,0.00025
rrnn,10,5,1.1732601440847197,0.000257,0.000258
rrnn,10,5,1.780054743571514,0.000276,0.000275
rrnn,10,5,2.525504675545751,0.000263,0.000263
rrnn,10,5,1.839417464145442,0.000248,0.000248
rrnn,10,5,2.5317732913983138,0.000254,0.000254
rrnn,10,5,2.2448169173481496,0.000258,0.000258
rrnn,10,10,2.6024885801786164,0.000851,0.000851
rrnn,10,10,1.705466524080041,0.000827,0.000827
rrnn,10,10,0.8982409106571694,0.000896,0.000895
rrnn,10,10,1.8617680847271894,0.000788,0.000789
rrnn,10,10,2.0750008600412837,0.000814,0.000813
rrnn,10,10,1.0516241686244174,0.000842,0.000841
rrnn,10,10,1.9015919681483182,0.000876,0.000875
rrnn,10,10,2.590194360826963,0.000838,0.000837
rrnn,10,10,2.2103962543041997,0.000765,0.000765
rrnn,10,10,1.9913309317709875,0.00087,0.000871
rrnn,10,15,1.515680359845426,0.001788,0.001787
rrnn,10,15,2.8573823018676467,0.001755,0.001754
rrnn,10,15,1.534968039650905,0.001822,0.001822
rrnn,10,15,1.1449968494956142,0.001869,0.001824
rrnn,10,15,2.0130947577229925,0.001641,0.00164
rrnn,10,15,2.2380850970873363,0.001913,0.001913
rrnn,10,15,1.4257586724645095,0.00183,0.00183
rrnn,10,15,2.0149885066046593,0.001979,0.00193
rrnn,10,15,1.8139735520830376,0.001825,0.001824
rrnn,10,15,1.8351405731834634,0.001609,0.00161
rrnn,10,20,2.1463311891354486,0.003642,0.003642
rrnn,10,20,1.945198198707423,0.002917,0.002887
rrnn,10,20,2.114998254757722,0.003124,0.003124
rrnn,10,20,1.9232152858682618,0.003212,0.003196
rrnn,10,20,1.9814170509901379,0.003156,0.003157
rrnn,10,20,2.027505901674444,0.002972,0.002971
rrnn,10,20,2.2427231164900223,0.003056,0.00305
rrnn,10,20,1.9907633699827536,0.003344,0.003343
rrnn,10,20,1.5309525840578049,0.0031,0.003081
rrnn,10,20,2.2417755558722274,0.002995,0.002985
rrnn,10,25,2.4573818061125303,0.005038,0.005026
rrnn,10,25,2.3077941873670462,0.005309,0.005308
rrnn,10,25,2.170308376523899,0.004844,0.004841
rrnn,10,25,2.0624919928987673,0.005083,0.005081
rrnn,10,25,1.9980396622567005,0.005657,0.00562
rrnn,10,25,2.3515951172396967,0.005936,0.005928
rrnn,10,25,1.9808002087946877,0.005368,0.005358
rrnn,10,25,2.248602870792541,0.004866,0.004849
rrnn,10,25,3.195914470373365,0.004873,0.004874
rrnn,10,25,2.051398756232257,0.00496,0.004939
rrnn,10,30,1.9832439343589088,0.007257,0.007225
rrnn,10,30,2.7717198163993695,0.007905,0.007846
rrnn,10,30,2.536713744734241,0.019603,0.0145
rrnn,10,30,1.6925749194276496,0.011232,0.00968
rrnn,10,30,2.893773534510116,0.007681,0.007674
rrnn,10,30,2.694080201260993,0.007788,0.007756
rrnn,10,30,1.9764884843677706,0.007394,0.007374
rrnn,10,30,2.2630814572705873,0.007875,0.007819
rrnn,10,30,2.27331630152861,0.008221,0.008206
rrnn,10,30,2.2258041870523932,0.007265,0.007252
rrnn,12,5,5.0,0.000286,0.000287
rrnn,12,5,1.6618898722125257,0.000268,0.000269
rrnn,12,5,1.5346071521507416,0.000261,0.000261
rrnn,12,5,1.2754015017456721,0.000263,0.000262
rrnn,12,5,2.063214236978041,0.000266,0.000265
rrnn,12,5,1.1732601440847197,0.000257,0.000257
rrnn,12,5,1.780054743571514,0.000272,0.000272
rrnn,12,5,2.525504675545751,0.000254,0.000255
rrnn,12,5,1.839417464145442,0.000269,0.000269
rrnn,12,5,2.5317732913983138,0.000255,0.000256
rrnn,12,5,2.2448169173481496,0.000272,0.000272
rrnn,12,10,2.6024885801786164,0.000912,0.000909
rrnn,12,10,1.705466524080041,0.000981,0.000968
rrnn,12,10,0.8982409106571694,0.000909,0.000893
rrnn,12,10,1.8617680847271894,0.000858,0.000858
rrnn,12,10,2.0750008600412837,0.000832,0.000834
rrnn,12,10,1.0516241686244174,0.000871,0.000871
rrnn,12,10,1.9015919681483182,0.000888,0.000888
rrnn,12,10,2.590194360826963,0.000844,0.000844
rrnn,12,10,2.2103962543041997,0.000774,0.000773
rrnn,12,10,1.9913309317709875,0.000969,0.00096
rrnn,12,15,1.5011559629590718,0.001969,0.001957
rrnn,12,15,2.863729410143784,0.001832,0.001833
rrnn,12,15,1.54244742129701,0.001815,0.001812
rrnn,12,15,1.1034763579327433,0.001766,0.001763
rrnn,12,15,2.013094757722992,0.001804,0.0018
rrnn,12,15,2.238085097087336,0.002002,0.002002
rrnn,12,15,1.3913130368135582,0.001898,0.001898
rrnn,12,15,2.0281259714351156,0.00196,0.00196
rrnn,12,15,1.8139735520830376,0.001861,0.001855
rrnn,12,15,1.755489297563749,0.001846,0.001845
rrnn,12,20,2.0668169783714445,0.00353,0.00353
rrnn,12,20,1.945198198707423,0.003507,0.003495
rrnn,12,20,2.0753354688136576,0.002929,0.002929
rrnn,12,20,1.8702391534803016,0.003044,0.003044
rrnn,12,20,2.1552901953034427,0.003363,0.003362
rrnn,12,20,1.92561018571726,0.00319,0.003181
rrnn,12,20,2.321769433829392,0.003165,0.003161
rrnn,12,20,2.0663337640569357,0.003173,0.003174
rrnn,12,20,1.5057788125077571,0.003224,0.003224
rrnn,12,20,2.18039950091326,0.003331,0.003328
rrnn,12,25,2.380460345079948,0.005179,0.005179
rrnn,12,25,2.297228652650012,0.00521,0.00521
rrnn,12,25,2.188237621892365,0.004853,0.004851
rrnn,12,25,1.8625745894448777,0.004755,0.004755
rrnn,12,25,1.954877746817517,0.005512,0.00551
rrnn,12,25,2.452040516659316,0.004952,0.004952
rrnn,12,25,2.173167546696461,0.005141,0.005132
rrnn,12,25,1.9886337420463374,0.00507,0.005066
rrnn,12,25,3.1267439462402535,0.004553,0.004553
rrnn,12,25,2.1925378826172492,0.004956,0.004947
rrnn,12,30,2.029680182477499,0.008117,0.008074
rrnn,12,30,2.714743384581249,0.007936,0.007936
rrnn,12,30,2.3014336162978517,0.007687,0.007682
rrnn,12,30,1.7434100444825242,0.008166,0.008158
rrnn,12,30,2.7312195102287826,0.00839,0.008388
rrnn,12,30,2.5476507049409185,0.007258,0.007258
rrnn,12,30,1.888536017375575,0.007373,0.007367
rrnn,12,30,2.478059301643553,0.006175,0.006171
rrnn,12,30,2.171617991391045,0.007224,0.007222
rrnn,12,30,2.245024088911008,0.006967,0.006963
rrnn,15,5,5.0,0.000245,0.000245
rrnn,15,5,1.6618898722125257,0.000262,0.000262
rrnn,15,5,1.5346071521507416,0.000277,0.000278
rrnn,15,5,1.2754015017456721,0.000255,0.000256
rrnn,15,5,2.063214236978041,0.000252,0.000252
rrnn,15,5,1.1732601440847197,0.000248,0.000248
rrnn,15,5,1.780054743571514,0.000264,0.000265
rrnn,15,5,2.525504675545751,0.00024,0.00024
rrnn,15,5,1.839417464145442,0.000257,0.000258
rrnn,15,5,2.5317732913983138,0.000242,0.000242
rrnn,15,5,2.2448169173481496,0.000263,0.000263
rrnn,15,10,2.6024885801786164,0.000808,0.000809
rrnn,15,10,1.705466524080041,0.000808,0.000807
rrnn,15,10,0.8982409106571694,0.000855,0.000855
rrnn,15,10,1.8617680847271894,0.000811,0.000808
rrnn,15,10,2.0750008600412837,0.000817,0.000816
rrnn,15,10,1.0516241686244174,0.000789,0.000789
rrnn,15,10,1.9015919681483182,0.000788,0.000788
rrnn,15,10,2.590194360826963,0.000762,0.000762
rrnn,15,10,2.2103962543041997,0.000749,0.000748
rrnn,15,10,1.9913309317709875,0.000852,0.000851
rrnn,15,15,1.5011559629590718,0.001865,0.001866
rrnn,15,15,2.7294686804179165,0.001612,0.00161
rrnn,15,15,1.5424474212970103,0.001616,0.001614
rrnn,15,15,1.1034763579327436,0.001931,0.001931
rrnn,15,15,1.9985334982339475,0.001689,0.001688
rrnn,15,15,2.238085097087336,0.001963,0.001963
rrnn,15,15,1.3913130368135587,0.001914,0.00191
rrnn,15,15,2.0149885066046602,0.001749,0.00175
rrnn,15,15,1.8139735520830378,0.001814,0.001814
rrnn,15,15,1.59313840776596,0.001751,0.001751
rrnn,15,20,2.0668169783714445,0.003256,0.003248
rrnn,15,20,2.026189570417168,0.003292,0.003293
rrnn,15,20,1.8697817731364443,0.003082,0.003082
rrnn,15,20,1.9447207706275815,0.002943,0.002935
rrnn,15,20,2.1442348679558343,0.003298,0.003297
rrnn,15,20,1.921021081771788,0.003046,0.003044
rrnn,15,20,2.383390838420064,0.003069,0.003067
rrnn,15,20,1.9976138445833076,0.00313,0.003131
rrnn,15,20,1.5628699167477307,0.003147,0.003143
rrnn,15,20,2.2683241352350345,0.002906,0.002906
rrnn,15,25,2.1176723101914665,0.004952,0.004949
rrnn,15,25,2.263182538501736,0.004836,0.004837
rrnn,15,25,2.0896047717250266,0.00519,0.005186
rrnn,15,25,2.0558247704197514,0.005212,0.005209
rrnn,15,25,2.0464663492312347,0.005532,0.005532
rrnn,15,25,2.303248665731476,0.00559,0.005586
rrnn,15,25,2.140427154345155,0.004779,0.004779
rrnn,15,25,2.1522726252290143,0.004951,0.004943
rrnn,15,25,3.0228687833297507,0.004838,0.004837
rrnn,15,25,2.063107023401822,0.005332,0.005328
rrnn,15,30,1.6251535595139392,0.007873,0.007869
rrnn,15,30,2.786311988760393,0.007278,0.007274
rrnn,15,30,2.17860498252188,0.007186,0.007183
rrnn,15,30,1.6769633922505067,0.007611,0.007608
rrnn,15,30,3.061838167396111,0.007562,0.007552
rrnn,15,30,2.4150895759508986,0.0076,0.007594
rrnn,15,30,1.924409044974526,0.00734,0.007304
rrnn,15,30,2.3315960702445064,0.007704,0.007662
rrnn,15,30,2.2472902665827332,0.007769,0.007729
rrnn,15,30,2.202473292947608,0.008119,0.00796
