algo,k,n,cost,wall,cpu
rrnn,1,1,5,5.0,0.000124,0.000124
rrnn,1,1,5,1.6618898722125257,4.7e-05,4.6e-05
rrnn,1,1,5,1.5346071521507416,4.3e-05,4.4e-05
rrnn,1,1,5,1.2754015017456721,3.7e-05,3.7e-05
rrnn,1,1,5,2.063214236978041,3.3e-05,3.3e-05
rrnn,1,1,5,1.1732601440847197,3.4e-05,3.5e-05
rrnn,1,1,5,1.780054743571514,3.2e-05,3.2e-05
rrnn,1,1,5,2.525504675545751,3.4e-05,3.4e-05
rrnn,1,1,5,1.839417464145442,3.4e-05,3.3e-05
rrnn,1,1,5,2.5317732913983138,3.2e-05,3.1e-05
rrnn,1,1,5,2.24481691734815,3.1e-05,3.2e-05
rrnn,1,1,10,2.658121203990162,8.7e-05,8.7e-05
rrnn,1,1,10,1.7054665240800413,7.6e-05,7.5e-05
rrnn,1,1,10,0.8982409106571694,7.8e-05,7.8e-05
rrnn,1,1,10,2.0373314944875967,6.8e-05,6.8e-05
rrnn,1,1,10,2.295275099745634,8.6e-05,8.6e-05
rrnn,1,1,10,1.0516241686244174,0.000117,0.000117
rrnn,1,1,10,1.9015919681483184,8.3e-05,8.2e-05
rrnn,1,1,10,2.7937176547106253,7.7e-05,7.7e-05
rrnn,1,1,10,2.2103962543042,8.6e-05,8.5e-05
rrnn,1,1,10,1.991330931770988,7.7e-05,7.6e-05
rrnn,1,1,15,1.5943389900048337,0.000178,0.000179
rrnn,1,1,15,2.8787640368115115,0.000205,0.000205
rrnn,1,1,15,1.714594547566009,0.000134,0.000133
rrnn,1,1,15,1.273388196928423,0.000133,0.000133
rrnn,1,1,15,2.223832232825413,0.00018,0.000179
rrnn,1,1,15,2.238085097087336,0.000225,0.000225
rrnn,1,1,15,1.5391218808086031,0.000135,0.000135
rrnn,1,1,15,2.1752161684938516,0.000158,0.000159
rrnn,1,1,15,1.936946861324419,0.000131,0.000131
rrnn,1,1,15,1.8641023123806288,0.000162,0.00016
rrnn,1,1,20,2.1463311891354477,0.00035,0.000349
rrnn,1,1,20,1.9451981987074234,0.000269,0.000268
rrnn,1,1,20,2.200548282655812,0.000289,0.00029
rrnn,1,1,20,2.1863097490824517,0.000307,0.000304
rrnn,1,1,20,2.1552901953034427,0.00039,0.000371
rrnn,1,1,20,2.006394711344241,0.000329,0.000328
rrnn,1,1,20,2.851471053688788,0.00025,0.00025
rrnn,1,1,20,2.087685105720495,0.000208,0.000208
rrnn,1,1,20,2.222300766011601,0.0002,0.0002
rrnn,1,1,20,2.336883263837917,0.000292,0.000293
rrnn,1,1,25,2.5589678761586696,0.00043,0.00043
rrnn,1,1,25,2.521791982366129,0.000663,0.000652
rrnn,1,1,25,2.426504557424607,0.00036,0.00036
rrnn,1,1,25,2.1044201282669444,0.000521,0.000521
rrnn,1,1,25,2.048602228545031,0.000421,0.000421
rrnn,1,1,25,2.449478375834267,0.000414,0.000414
rrnn,1,1,25,2.393806898188707,0.000348,0.000348
rrnn,1,1,25,2.542618635159628,0.000282,0.000282
rrnn,1,1,25,3.5873754413701646,0.00035,0.00035
rrnn,1,1,25,2.136365353792521,0.000419,0.000419
rrnn,1,1,30,2.0368708073844375,0.000625,0.000625
rrnn,1,1,30,3.036840463967237,0.000535,0.000531
rrnn,1,1,30,3.0877323800101424,0.000791,0.000741
rrnn,1,1,30,2.436195368587552,0.000447,0.000446
rrnn,1,1,30,3.105052236016106,0.000467,0.000466
